Introduction	引言
If you are interested in using the data from a published paper, first check the journal's website, as many journals archive data and replication programs online	如果你对使用已发表论文中的数据感兴趣，请首先查看该期刊的网站，因为许多期刊在线存档数据和复现程序
You may need to be persistent	你可能需要坚持不懈
As a matter of professional etiquette, all authors absolutely have the obligation to make their data and programs available	作为职业礼节，所有作者绝对有义务提供他们的数据和程序
The irony of the situation is that it is typically in the best interests of a scholar to make as much of their work (including all data and programs) freely available, as this only increases the likelihood of their work being cited and having an impact	具有讽刺意味的是，将尽可能多的工作（包括所有数据和程序）免费提供通常符合学者的最大利益，因为这只会增加他们的成果被引用和产生影响的可能性
Keep this in mind as you start your own empirical project	当你开始自己的实证项目时，请记住这一点
In addition, public openness provides a healthy incentive for transparency and integrity in empirical analysis	此外，公共开放性为实证分析的透明度和完整性提供了健康的激励
Data Files for Textbook	教材配套数据文件
The three data files are identical in content: the observations and variables are listed in the same order in each, and all have variable labels	这三个数据文件的内容是相同的：观测值和变量在每个文件中都以相同的顺序列出，并且都有变量标签
For example, the text makes frequent reference to a wage data set extracted from the Current Population Survey	例如，文本经常引用从当前人口普查中摘取的工资数据集
The data sets currently included are	目前包含的数据集是
Reading the Manuscript	阅读手稿
I have endeavored to use a unified notation and nomenclature	我努力使用统一的记号和命名法
Nevertheless, every attempt has been made to make each chapter self-contained so readers can pick and choose topics according to their interests	尽管如此，我们已尽一切努力使每一章都自成一体，以便读者可以根据自己的兴趣选择主题
To fully understand econometric methods it is necessary to have a mathematical understanding of its mechanics, and this includes the mathematical proofs of the main results	为了充分理解计量经济学方法，有必要对其有数学机理的理解，这包括主要结果的数学证明
To understand a mathematical proof it is not sufficient to simply read the proof, you need to follow it and re-create it for yourself	要理解数学证明，仅仅阅读证明是不够的，你需要追根溯源并自己重新证明它
Nevertheless, many readers will not be interested in each mathematical detail, explanation, or proof	然而，许多读者不会对每个数学细节、解释或证明感兴趣
These sections can be skipped without any loss in exposition	可以跳过这些部分而不会丢失任何解释性
Key concepts in matrix algebra and a set of useful inequalities are reviewed in Appendices A \& B	矩阵代数中的关键概念和一系列有用的不等式在附录 A 和 B 中进行了回顾
They are intended to be reference material and some of the results are not used in this textbook	它们旨在作为参考资料，其中一些结论未在本教科书中使用
Conditional Expectation and Projection	条件预期和投影
The most commonly applied econometric tool is least squares estimation, also known as regression	最常用的计量经济学工具是最小二乘估计，也称为回归
Least squares is a tool to estimate the conditional mean of one variable (the dependent variable) given another set of variables (the regressors, conditioning variables, or covariates)	最小二乘法是一种用于在给定另一组变量（回归变量、条件变量或协变量）的情况下估计一个变量（因变量）条件均值的方法
In this chapter we abstract from estimation and focus on the probabilistic foundation of the conditional expectation model and its projection approximation	在本章中，我们从估计问题中提升上来，重点讨论条件期望模型的概率基础及其投影渐近
For a background in intermediate probability theory see Chapters 1-5 of Probability and Statistics for Economists	有关中级概率论的背景知识，请参阅《经济学家的概率与统计》第 1-5 章
The Distribution of Wages	工资分布
Suppose that we are interested in wage rates in the United States	假设我们对美国的工资率感兴趣
Treating unobserved wages as random variables and observed wages as realizations is a powerful mathematical abstraction which allows us to use the tools of mathematical probability	将未观察到的工资视为随机变量，将观察到的工资视为具体实现是一种强大的数学抽象，它允许我们使用数学概率工具
By making many such phone calls we can learn the full distribution	通过拨打许多这样的电话，我们可以了解完整的分布
The density contains the same information as the distribution function, but the density is typically easier to visually interpret	密度包含与分布函数相同的信息，但密度通常更易于直观解释
Figure 2.1: Density of Wages and Log Wages	图 2.1：工资密度和对数工资
Important measures of central tendency are the median and the mean	集中趋势的重要度量是中位数和平均值
The expectation is a convenient measure of central tendency because it is a linear operator and arises naturally in many economic models	期望是集中趋势的一种方便度量，因为它是一个线性算子，并且是许多经济模型中自然呈现出来的
For this reason, wage regressions typically use log wages as a dependent variable rather than the level of wages	出于这个原因，工资回归通常使用对数工资作为因变量，而不是工资水平
Conditional Expectation	条件期望
We saw in Figure 2.1(b) the density of log wages	我们在图 2.1(b) 中看到了对数工资的密度
We can see that the two wage densities take similar shapes but the density for men is somewhat shifted to the right	我们可以看到这两种工资密度具有相似的形状，但男性的密度稍微向右移动
We call these expectations "conditional" as they are conditioning on a fixed value of the variable gender	我们将这些期望称为“有条件的”，因为它们以性别的某种固定取值为条件
It is important to mention at this point that we in no way attribute causality or interpretation to the difference in the conditional expectation of log wages between men and women	需要提到的重要一点的是，我们绝不会将因果关系或解释归因于男女之间对数工资的条件期望的差异
There are multiple potential explanations	有多种可能的解释
As the two densities in Figure 2.2(a) appear similar, a hasty inference might be that there is not a meaningful difference between the wage distributions of men and women	由于图 2.2(a) 中的两个密度看起来相似，认为男性和女性的工资分布之间没有显著的差异是一种草率的推测
Figure 2.2: Log Wage Density by Gender and Race	图 2.2：按性别和种族划分的对数工资密度
primary difference between the two densities appears to be their means	两种密度之间的主要区别似乎是它们的平均值
Consider further splitting the male and female subpopulations by race, dividing the population into whites, Blacks, and other races	考虑进一步按种族划分男性和女性亚群，将人口分为白人、黑人和其他种族
Again we see that the primary difference between the four density functions is their central tendency	我们再次看到四个密度函数之间的主要区别在于它们的集中趋势
Table 2.1: Mean Log Wages by Gender and Race	表 2.1：按性别和种族划分的平均对数工资
Once again we stress that we in no way attribute causality or interpretation to the differences across the entries of the table	我们再次强调，我们绝不会将因果关系或解释归因于表格条目之间的差异
Conditional expectations (by themselves) can help in the documentation and description; conditional expectations by themselves are neither a model nor an explanation	条件期望（自己）在文档和描述上是有益的；条件期望本身既不是模型也不是解释
One benefit of focusing on conditional means is that they reduce complicated distributions to a single summary measure, and thereby facilitate comparisons across groups	关注条件均值的一个好处是它们可以将复杂的分布简化为单一的概括性度量，从而有助于跨组间比较
Because of this simplifying property, conditional means are the primary interest of regression analysis and are a major focus in econometrics	由于这种简化特性，条件均值是回归分析的主要兴趣点，也是计量经济学的主要关注点
Logs and Percentages	对数和百分比
In this section we want to motivate and clarify the use of the logarithm in regression analysis by making two observations	在本节中，我们希望通过两种计算情形来激发和阐明回归分析中对数的使用
We now explain these ideas and the nature of the approximations involved	我们现在解释这些想法和所涉及的渐近性质
Applying (2.3) to (2.2) and multiplying by 100 we find	将 (2.3) 应用于 (2.2) 并乘以 100，我们发现
This shows that 100 multiplied by the difference in logarithms is approximately the percentage difference	这表明 100 乘以对数差值大约是百分比差值
Now consider the difference in the expectation of log transformed random variables	现在考虑对数变换随机变量的期望差异
The difference in the expectation of the log transforms (multiplied by 100) is	对数变换的期望差异（乘以 100）为
In words, the difference between the average of the log transformed variables is (approximately) the percentage difference in the geometric means	换句话说，对数变换变量的平均值之间的差异（大约）是几何平均值的百分比差异
The reason why this latter observation is important is because many econometric equations take the semi-log form	后一种情形之所以重要，是因为许多计量经济学方程采用半对数形式
To compare different measures of percentage difference see Table 2.2	要比较不同的百分比差异度量，请参见表 2.2
Let's summarize this analysis	让我们总结一下这个分析
Conditional Expectation Function	条件期望函数
An important determinant of wages is education	工资的一个重要决定因素是教育
We will write this variable as education	我们将把这个变量写成教育
As the variables are measured in logs this implies a constant average percentage gap between men and women regardless of educational attainment	由于变量是用对数来衡量的，这意味着无论受教育程度如何，男性和女性之间的平均百分比之差都是恒定的
Figure 2.3: Expected Log Wage as a Function of Educationtion=20	图 2.3：预期对数工资与 education=20 的函数关系
Conditional expectations can be written with the generic notation	条件期望可以用通用符号来写
We call this the conditional expectation function (CEF)	我们称之为条件期望函数（CEF）
Given this notation, the CEF can be compactly written as	给定这个符号，CEF 可以紧凑地写为
Continuous Variables	连续变量
In the previous sections we implicitly assumed that the conditioning variables are discrete	在前面的部分中，我们潜在地假设条件变量是离散的
Figure 2.4: Log Wage and Experience	图 2.4：对数化工资和经验
then renormalize the slice so that it is a proper density	然后重新标准化样本切片使其具有正确的密度
We can see that the distribution of wages shifts to the right and becomes more diffuse as experience increases	我们可以看到，随着经验的增加，工资分布向右移动并变得更加离散
This definition (2.6) is appropriate when the conditional density (2.5) is well defined	当条件密度（2.5）定义明确时，这个定义（2.6）是合理的
Law of Iterated Expectations	迭代期望定理
An extremely useful tool from probability theory is the law of iterated expectations	概率论中一个非常有用的工具是迭代期望定理
This states that the expectation of the conditional expectation is the unconditional expectation	这表明有条件期望的期望是无条件期望
Going back to our investigation of average log wages for men and women, the simple law states that	回到我们对男性和女性平均对数工资的考察，简单的定理表明：
The general law of iterated expectations allows two sets of conditioning variables	广义迭代期望定理允许两组条件变量
Theorem 2.2 Law of Iterated Expectations	定理 2.2 迭代期望定理
Notice the way the law is applied	注意定理的适用方式
The general property is known as the Conditioning Theorem	一般性质称为条件定理
Theorem 2.3 Conditioning Theorem	定理 2.3 条件定理
CEF Error	CEF 误差
By construction, this yields the formula	通过构造，这产生了公式
A key property of the CEF error is that it has a conditional expectation of zero	CEF 误差的一个关键特性是它的条件期望为零
This fact can be combined with the law of iterated expectations to show that the unconditional expectation is also zero	这个事实可以结合迭代期望定理来证明无条件期望也是零
We state this and some other results formally	我们正式说明这一点和其他一些结果
Theorem 2.4 Properties of the CEF error	定理 2.4 CEF 误差的性质
These equations hold true by definition	根据定义，这些等式成立
Notice that the shape of the conditional distribution varies with the level of experience	请注意，条件分布的形状随经验水平而变化
Figure 2.5: Joint Density of Regression Error and Experience	图 2.5：回归误差和经验的联合密度
Mean independence does not imply full independence	均值独立并不意味着完全独立
Intercept-Only Model	仅含截距模型
This is useful for it unifies the notation	这对于统一符号很有用
Regression Variance	回归方差
Theorem 2.4.3 implies the following simple but useful result	定理 2.4.3 意味着以下简单但有用的结果
It turns out that there is a simple relationship	事实证明，有一个简单的关系
This relationship is monotonic in the sense that increasing the amount of information always decreases the variance of the unexplained portion	这种关系是单调的，因为增加信息量总是会降低无法解释部分的方差
Best Predictor	最优预测器
We state this formally in the following result	我们在下面的结果中正式说明了这一点
Theorem 2.7 Conditional Expectation as Best Predictor	定理 2.7 条件期望作为最优预测器
It may be helpful to consider this result in the context of the intercept-only model	在仅含截距模型的情形下考虑此结果可能会有所帮助
Conditional Variance	条件方差
While the conditional mean is a good measure of the location of a conditional distribution it does not provide information about the spread of the distribution	虽然条件均值可以很好地衡量条件分布的位置，但它不能提供有关分布分布的信息
Notice that the conditional variance is the conditional second moment, centered around the conditional first moment	请注意，条件方差是条件二阶矩，以条件一阶矩为中心
Given this definition we define the conditional variance of the regression error	给定这个定义，我们定义回归误差的条件方差
As an example of how the conditional variance depends on observables, compare the conditional log wage densities for men and women displayed in Figure 2.2	作为条件方差如何依赖于可观察值的示例，比较图 2.2 中显示的男性和女性的条件对数工资密度
So while men have higher average wages they are also somewhat more dispersed	因此，虽然男性的平均工资较高，但他们也更加分散
The unconditional variance is related to the conditional variance by the following identity	无条件方差通过以下恒等式与条件方差相关
The second term is the variance after controlling for education	第二项是控制教育后的方差
The regression error has a conditional mean of zero, so its unconditional error variance equals the expected conditional variance, or equivalently can be found by the law of iterated expectations	回归误差的条件均值为零，因此它的无条件误差方差等于期望的条件方差，或者等效地可以通过迭代期望定理得到
That is, the unconditional error variance is the average conditional variance	也就是说，无条件误差方差是平均条件方差
Given the conditional variance we can define a rescaled error	给定条件方差，我们可以定义重新调整的误差
Notice that (2.11) can be rewritten as	注意 (2.11) 可以重写为
This is an alternative (mean-variance) representation of the CEF equation	这是 CEF 方程的另一种（均值方差）表示
Conditional dispersion (variance) can be a fruitful subject for investigation	条件离散（方差）可能是一个富有成果的研究课题
The perverse consequences of a narrow-minded focus on the mean is parodied in a classic joke:	在一个经典笑话中讽刺了狭隘地关注平均值引起有悖常理的后果：
An economist was standing with one foot in a bucket of boiling water and the other foot in a bucket of ice	一位经济学家一只脚站在一桶开水里，另一只脚站在一桶冰里
Clearly, the economist in question ignored variance!	显然，有问题的经济学家忽略了方差！
Homoskedasticity and Heteroskedasticity	同方差和异方差
It is helpful to understand that the concepts homoskedasticity and heteroskedasticity concern the conditional variance, not the unconditional variance	理解同方差和异方差的概念与条件方差有关，而不是无条件方差，这是很有助益的
Older textbooks also tend to describe homoskedasticity as a component of a correct regression specification and describe heteroskedasticity as an exception or deviance	较旧的教科书也倾向于将同方差描述为正确回归设定的组成部分，并将异方差描述为例外或违背
The default in empirical work should be to assume that the errors are heteroskedastic, not the converse	实证工作的惯常设定应该是假设误差是异方差的，而不是相反的
In apparent contradiction to the above statement we will still frequently impose the homoskedasticity assumption when making theoretical investigations into the properties of estimation and inference methods	与上述陈述明显矛盾的是，在对估计和推断方法的性质进行理论研究时，我们仍然会经常强加同方差假设
It should always be remembered, however, that homoskedasticity is never imposed because it is believed to be a correct feature of an empirical model but rather because of its simplicity	然而，应该永远记住，同方差性从未被强加，是因为它被认为是实证模型的一个正确特征，而不是因为它的简单性
Homoskedastic or Heteroscedastic?	同方差还是异方差？
The spelling of the words homoskedastic and heteroskedastic have been somewhat controversial	同方差和异方差这两个词的拼写有些争议
McCulloch (1985) pointed out that the word is derived from Greek roots	McCulloch (1985) 指出这个词来源于希腊语词根
Regression Derivative	回归导数
We can unify the continuous and discrete cases with the notation	我们可以用符号统一连续和离散的情况
There are two important points to remember concerning our definition of the regression derivative	关于回归导数的定义，有两点需要记住
But it does not hold constant an individual's unobservable characteristics (such as ability), nor variables not included in the regression (such as the quality of education)	但它并不强制个体不可观察的特征（如能力）和回归中未包含的变量（如教育质量）保持不变
We return to a discussion of causal effects in Section 2.30	我们回到第 2.30 节中对因果效应的讨论
Linear CEF	线性 CEF
With this redefinition, the CEF is	通过这个重新定义，CEF 是
In the linear CEF model the regression derivative is simply the coefficient vector	在线性 CEF 模型中，回归导数就是系数向量
The coefficients have simple and natural interpretations as the marginal effects of changing one variable, holding the others constant	作为改变一个变量而保持其他变量不变的边际效应，这些系数具有简单而自然的解释
If in addition the error is homoskedastic we call this the homoskedastic linear CEF model	如果加上误差是同方差的，我们称之为同方差线性 CEF 模型
Homoskedastic Linear CEF Model	同方差线性 CEF 模型
Linear CEF with Nonlinear Effects	具有非线性效应的线性 CEF
The linear CEF model of the previous section is less restrictive than it might appear, as we can include as regressors nonlinear transformations of the original variables	上一节的线性 CEF 模型没有看起来那么严格，因为我们可以将原始变量的非线性变换作为自变量
In this sense, the linear CEF framework is flexible and can capture many nonlinear effects	从这个意义上说，线性 CEF 框架是灵活的，可以捕捉许多非线性效应
An exception is in the analysis of regression derivatives	回归导数的分析是一个例外
It is more useful to interpret them as a group	将它们解释为一个组更有用
Linear CEF with Dummy Variables	带有虚拟变量的线性 CEF
When all regressors take a finite set of values it turns out the CEF can be written as a linear function of regressors	当所有自变量都取一组有限的值时，结果证明 CEF 可以写成自变量的线性函数
This simplest example is a binary variable which takes only two distinct values	这个最简单的例子是一个二值变量，它只有两个不同的值
Binary variables are extremely common in econometric applications and are alternatively called dummy variables or indicator variables	二值变量在计量经济学应用中极为常见，也称为虚拟变量或指标变量
Consider the simple case of a single binary regressor	考虑单个二值自变量的简单情况
In this case, the regression intercept is the expectation for women (rather than for men) and the regression slope has switched signs	在这种情况下，回归截距是对女性（而不是男性）的期望，并且回归斜率具有切换符号
So while we started with two dummy variables, the number of regressors (including the intercept) is four	因此，虽然我们从两个虚拟变量开始，但自变量（包括截距）的数量是四个
which has eight regressors including the intercept	它有八个自变量，包括截距
We started this section by saying that the conditional expectation is linear whenever all regressors take only a finite number of possible values	我们在本节开始时说，只要所有自变量只取有限数量的可能值，条件期望就是线性的
Best Linear Predictor	最优线性预测器
In this section we derive a specific approximation with a simple interpretation	在本节中，我们通过简单的解释得出一个特定的近似值
By extension, we can define an approximation to the CEF by the linear function with the lowest mean squared error among all linear predictors	通过扩展，我们可以通过所有线性预测变量中均方误差最小的线性函数来定义 CEF 的近似值
For this derivation we require the following regularity condition	对于这个推导，我们需要以下正则性条件
is called the Linear Projection Coefficient	称为线性投影系数
and dividing by 2 , this equation takes the form	并除以 2 ，这个方程的形式为
We now have an explicit expression for the best linear predictor:	我们现在有一个最优线性预测器的显式表达式：
This completes the derivation of the model	这样就完成了模型的推导
We summarize some of the most important properties	我们总结了一些最重要的特征
Theorem 2.9 Properties of Linear Projection Model	定理 2.9 线性投影模型的性质
It is useful to reflect on the generality of Theorem 2.9	反思定理 2.9 的一般性是有帮助的
Invertibility and Identification	可逆性和识别
Minimization	最小化
The mean squared prediction error (2.19) is a function with vector argument of the form	均方预测误差 (2.19) 是具有向量参数形式的函数
To see that this is the unique minimizer we present two proofs	为了看到这是唯一的最小化，我们提供了两个证明
Using (2.31) and (2.32), we find	使用 (2.31) 和 (2.32)，我们发现
The first-order condition for minimization sets this derivative equal to zero	最小化的一阶条件将此导数设置为零
which is the second-order condition for minimization	这是最小化的二阶条件
Our second proof is algebraic	我们的第二个证明是代数的
Illustrations of Best Linear Predictor	最优线性预测器的说明
We illustrate the best linear predictor (projection) using three log wage equations introduced in earlier sections	我们使用前面部分介绍的三个对数工资方程来说明最优线性预测器（投影）
For our first example, we consider a model with the two dummy variables for gender and race similar to Table 2.1	对于我们的第一个示例，我们考虑一个包含性别和种族两个虚拟变量的模型，类似于表 2.1
This is a CEF as the variables are binary and all interactions are included	这是一个 CEF，因为变量是二值的并且包括所有交互
Now consider a simpler model omitting the interaction effect	现在考虑一个遗漏交互效应的更简单的模型
Notice that this is despite the fact that gender is included in (2.35)	请注意，尽管（2.35）中包含了性别这一事实
Figure 2.6: Projections of Log Wage onto Education and Experience	图 2.6：对数工资对教育和经验的预测
This equation is displayed in Figure 2.6(a) using the solid line, and appears to fit much better	这个方程用实线显示在图 2.6(a) 中，看起来拟合得更好
It is still an approximation to the conditional mean but it appears to be fairly reasonable	它仍然是条件均值的近似值，但似乎相当合理
and the second (given by the dashed line) is the linear projection on experience and its square	第二个（由虚线给出）是经验的线性投影及其平方
We can call this equation a quadratic projection because the function is quadratic in experience	我们可以称这个方程为二次投影，因为这个函数在经验上是二次的
